Date,Centre ID,Time,Current Queue,Active Counters,Farmers Arrived,Farmers Processed,Average Processing Time,Crop,Quantity,Booked Farmers,Actual Waiting Time
2025-02-02,4,11:00,77,3,81,38,7.3,Cotton,14.4,92,89.0
2025-10-10,3,11:00,7,1,28,34,11.6,Maize,5.7,69,45.1
2025-08-27,5,11:00,66,5,95,5,20.2,Cotton,25.8,125,91.2
2025-06-10,4,12:00,46,3,48,8,22.5,Mustard,29.3,103,77.0
2025-06-08,1,14:00,68,5,85,44,14.5,Mustard,24.4,92,66.0
2025-11-10,2,10:00,40,4,51,42,8.4,Rice,7.8,60,47.7
2025-02-01,2,11:00,14,5,15,41,20.6,Rice,27.1,66,42.0
2025-09-12,3,16:00,67,3,103,11,22.0,Cotton,9.5,68,79.2
2025-03-15,2,09:00,56,1,76,38,14.0,Wheat,26.8,114,82.6
2025-02-04,5,12:00,41,1,74,4,11.1,Wheat,20.3,80,74.8
2025-07-12,2,14:00,33,3,59,10,7.7,Rice,13.5,74,51.2
2025-12-23,3,10:00,30,3,69,37,17.0,Cotton,3.8,58,53.8
2025-09-26,1,09:00,43,5,87,46,22.5,Cotton,29.1,106,70.5
2025-10-05,5,10:00,23,3,50,49,18.5,Mustard,32.9,71,60.0
2025-09-19,5,16:00,25,6,40,73,12.4,Mustard,23.6,28,22.9
2025-10-14,4,08:00,25,2,44,64,17.9,Wheat,33.8,59,44.9
2025-07-07,2,10:00,1,3,38,28,21.1,Rice,32.8,56,49.5
2025-02-16,1,08:00,83,5,102,58,15.1,Wheat,7.6,87,66.4
2025-11-03,4,09:00,21,1,44,7,20.9,Cotton,25.9,68,73.0
2025-06-14,3,13:00,14,2,22,64,13.7,Cotton,12.9,29,37.6
2025-07-02,5,11:00,13,5,57,28,12.9,Rice,17.6,45,39.4
2025-05-16,4,13:00,88,4,117,57,16.9,Rice,6.3,145,83.6
2025-03-08,3,13:00,42,5,56,72,14.9,Rice,34.1,74,53.6
2025-12-05,5,15:00,29,4,55,52,23.6,Maize,25.7,31,44.0
2025-10-13,5,08:00,36,6,54,69,15.8,Mustard,10.1,37,31.3
2025-08-24,3,15:00,7,6,13,0,13.5,Cotton,13.6,54,25.7
2025-05-27,1,13:00,28,6,67,12,13.7,Mustard,15.4,88,37.5
2025-10-28,1,10:00,22,1,61,46,16.3,Cotton,26.4,40,55.6
2025-07-19,3,14:00,72,4,109,40,13.0,Mustard,32.5,132,82.8
2025-06-11,3,15:00,5,1,21,9,19.3,Rice,11.9,34,45.0
2025-06-14,1,11:00,38,2,49,53,13.5,Maize,17.1,41,52.6
2025-03-24,1,16:00,71,2,73,4,13.5,Cotton,21.2,105,77.8
2025-02-03,4,12:00,75,4,107,74,17.5,Cotton,14.4,138,89.4
2025-07-22,4,13:00,46,3,60,11,8.0,Maize,18.1,62,53.0
2025-11-21,1,17:00,20,6,60,33,18.1,Rice,4.6,82,38.2
2025-01-24,3,11:00,30,2,69,61,15.6,Wheat,6.7,72,57.6
2025-11-10,1,15:00,20,4,25,38,14.7,Mustard,14.6,45,27.1
2025-10-30,4,11:00,59,5,100,55,19.2,Rice,32.1,104,80.3
